file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,9,1
symcc-assertions-1.smt2,sat,12,2
symcc-assertions-10.smt2,sat,59,3
symcc-assertions-11.smt2,sat,89,4
symcc-assertions-12.smt2,sat,63,5
symcc-assertions-13.smt2,sat,65,6
symcc-assertions-14.smt2,sat,59,7
symcc-assertions-15.smt2,sat,60,8
symcc-assertions-16.smt2,sat,130,9
symcc-assertions-17.smt2,sat,150,10
symcc-assertions-18.smt2,sat,159,11
symcc-assertions-19.smt2,sat,112,12
symcc-assertions-2.smt2,sat,33,13
symcc-assertions-20.smt2,sat,104,14
symcc-assertions-21.smt2,sat,113,15
symcc-assertions-22.smt2,sat,79,16
symcc-assertions-23.smt2,unsat,10,17
symcc-assertions-24.smt2,sat,119,18
symcc-assertions-25.smt2,sat,161,19
symcc-assertions-26.smt2,sat,154,20
symcc-assertions-27.smt2,sat,221,21
symcc-assertions-28.smt2,sat,175,22
symcc-assertions-29.smt2,sat,184,23
symcc-assertions-3.smt2,sat,24,24
symcc-assertions-30.smt2,sat,198,25
symcc-assertions-31.smt2,sat,239,26
symcc-assertions-32.smt2,sat,276,27
symcc-assertions-33.smt2,unsat,186,28
symcc-assertions-34.smt2,unsat,12,29
symcc-assertions-35.smt2,sat,302,30
symcc-assertions-36.smt2,sat,395,31
symcc-assertions-37.smt2,sat,316,32
symcc-assertions-38.smt2,timeout,300000,33
symcc-assertions-39.smt2,sat,810,34
symcc-assertions-4.smt2,sat,45,35
symcc-assertions-40.smt2,timeout,300000,36
symcc-assertions-41.smt2,timeout,300000,37
symcc-assertions-42.smt2,sat,534,38
symcc-assertions-43.smt2,sat,516,39
symcc-assertions-44.smt2,sat,1036,40
symcc-assertions-45.smt2,sat,1449,41
symcc-assertions-46.smt2,sat,1072,42
symcc-assertions-47.smt2,sat,787,43
symcc-assertions-48.smt2,sat,622,44
symcc-assertions-49.smt2,sat,1647,45
symcc-assertions-50.smt2,sat,1310,46
symcc-assertions-51.smt2,sat,2084,47
symcc-assertions-52.smt2,sat,2387,48
symcc-assertions-53.smt2,timeout,300000,49
symcc-assertions-54.smt2,sat,2813,50
