file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,9,1
symcc-unsat-1.smt2,sat,9,2
symcc-unsat-10.smt2,sat,57,3
symcc-unsat-11.smt2,sat,61,4
symcc-unsat-12.smt2,sat,60,5
symcc-unsat-13.smt2,sat,60,6
symcc-unsat-14.smt2,sat,47,7
symcc-unsat-15.smt2,sat,71,8
symcc-unsat-16.smt2,sat,79,9
symcc-unsat-17.smt2,sat,90,10
symcc-unsat-18.smt2,sat,74,11
symcc-unsat-19.smt2,sat,73,12
symcc-unsat-2.smt2,sat,23,13
symcc-unsat-20.smt2,sat,80,14
symcc-unsat-21.smt2,sat,75,15
symcc-unsat-22.smt2,sat,75,16
symcc-unsat-23.smt2,sat,68,17
symcc-unsat-24.smt2,sat,170,18
symcc-unsat-25.smt2,sat,97,19
symcc-unsat-26.smt2,sat,167,20
symcc-unsat-27.smt2,sat,310,21
symcc-unsat-28.smt2,sat,287,22
symcc-unsat-29.smt2,sat,236,23
symcc-unsat-3.smt2,sat,40,24
symcc-unsat-30.smt2,sat,223,25
symcc-unsat-31.smt2,sat,197,26
symcc-unsat-32.smt2,sat,198,27
symcc-unsat-33.smt2,sat,199,28
symcc-unsat-34.smt2,sat,189,29
symcc-unsat-35.smt2,sat,421,30
symcc-unsat-36.smt2,sat,419,31
symcc-unsat-37.smt2,sat,933,32
symcc-unsat-38.smt2,sat,508,33
symcc-unsat-39.smt2,sat,943,34
symcc-unsat-4.smt2,sat,71,35
symcc-unsat-40.smt2,sat,763,36
symcc-unsat-41.smt2,timeout,300000,37
symcc-unsat-42.smt2,sat,467,38
symcc-unsat-43.smt2,sat,1158,39
symcc-unsat-44.smt2,sat,1195,40
symcc-unsat-45.smt2,sat,1656,41
symcc-unsat-46.smt2,sat,1372,42
symcc-unsat-47.smt2,sat,1414,43
symcc-unsat-48.smt2,sat,1309,44
symcc-unsat-49.smt2,sat,716,45
symcc-unsat-50.smt2,timeout,300000,46
symcc-unsat-51.smt2,sat,1392,47
symcc-unsat-52.smt2,sat,1236,48
symcc-unsat-53.smt2,timeout,300000,49
symcc-unsat-54.smt2,sat,1565,50
