file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,12,1
symcc-assertions-1.smt2,unsat,7,2
symcc-assertions-10.smt2,sat,18,3
symcc-assertions-11.smt2,sat,28,4
symcc-assertions-12.smt2,sat,23,5
symcc-assertions-13.smt2,sat,25,6
symcc-assertions-14.smt2,sat,25,7
symcc-assertions-15.smt2,sat,25,8
symcc-assertions-16.smt2,sat,33,9
symcc-assertions-17.smt2,sat,30,10
symcc-assertions-18.smt2,sat,30,11
symcc-assertions-19.smt2,sat,29,12
symcc-assertions-2.smt2,sat,12,13
symcc-assertions-20.smt2,sat,30,14
symcc-assertions-21.smt2,sat,38,15
symcc-assertions-22.smt2,sat,42,16
symcc-assertions-23.smt2,sat,103,17
symcc-assertions-24.smt2,unsat,8,18
symcc-assertions-25.smt2,unsat,8,19
symcc-assertions-26.smt2,sat,47,20
symcc-assertions-27.smt2,sat,42,21
symcc-assertions-28.smt2,sat,43,22
symcc-assertions-29.smt2,sat,43,23
symcc-assertions-3.smt2,sat,11,24
symcc-assertions-30.smt2,sat,42,25
symcc-assertions-31.smt2,sat,70,26
symcc-assertions-32.smt2,sat,65,27
symcc-assertions-33.smt2,sat,51,28
symcc-assertions-34.smt2,sat,70,29
symcc-assertions-35.smt2,sat,65,30
symcc-assertions-36.smt2,sat,80,31
symcc-assertions-37.smt2,sat,78,32
symcc-assertions-38.smt2,sat,66,33
symcc-assertions-39.smt2,sat,75,34
symcc-assertions-4.smt2,sat,13,35
symcc-assertions-40.smt2,sat,78,36
symcc-assertions-41.smt2,sat,88,37
symcc-assertions-42.smt2,sat,65,38
symcc-assertions-43.smt2,sat,99,39
symcc-assertions-44.smt2,unsat,8,40
symcc-assertions-45.smt2,unsat,8,41
symcc-assertions-46.smt2,sat,79,42
symcc-assertions-47.smt2,sat,118,43
symcc-assertions-48.smt2,sat,98,44
symcc-assertions-49.smt2,sat,131,45
symcc-assertions-5.smt2,sat,12,46
symcc-assertions-6.smt2,sat,19,47
symcc-assertions-7.smt2,sat,17,48
symcc-assertions-8.smt2,sat,17,49
symcc-assertions-9.smt2,sat,18,50
