file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,10,1
symcc-unsat-1.smt2,sat,10,2
symcc-unsat-10.smt2,sat,38,3
symcc-unsat-11.smt2,sat,39,4
symcc-unsat-12.smt2,sat,49,5
symcc-unsat-13.smt2,sat,42,6
symcc-unsat-14.smt2,sat,41,7
symcc-unsat-15.smt2,sat,84,8
symcc-unsat-16.smt2,sat,376,9
symcc-unsat-17.smt2,sat,143,10
symcc-unsat-18.smt2,sat,130,11
symcc-unsat-19.smt2,sat,57,12
symcc-unsat-2.smt2,sat,12,13
symcc-unsat-20.smt2,sat,454,14
symcc-unsat-21.smt2,sat,493,15
symcc-unsat-22.smt2,sat,243,16
symcc-unsat-23.smt2,sat,42,17
symcc-unsat-24.smt2,sat,42,18
symcc-unsat-25.smt2,sat,41,19
symcc-unsat-26.smt2,sat,70,20
symcc-unsat-27.smt2,sat,87,21
symcc-unsat-28.smt2,sat,70,22
symcc-unsat-29.smt2,sat,67,23
symcc-unsat-3.smt2,sat,11,24
symcc-unsat-30.smt2,sat,62,25
symcc-unsat-31.smt2,sat,106,26
symcc-unsat-32.smt2,sat,72,27
symcc-unsat-33.smt2,sat,120,28
symcc-unsat-34.smt2,sat,105,29
symcc-unsat-35.smt2,sat,72,30
symcc-unsat-36.smt2,sat,101,31
symcc-unsat-37.smt2,sat,119,32
symcc-unsat-38.smt2,sat,113,33
symcc-unsat-39.smt2,sat,125,34
symcc-unsat-4.smt2,sat,12,35
symcc-unsat-40.smt2,sat,104,36
symcc-unsat-41.smt2,sat,231,37
symcc-unsat-42.smt2,sat,92,38
symcc-unsat-43.smt2,sat,79,39
symcc-unsat-44.smt2,sat,78,40
symcc-unsat-45.smt2,sat,76,41
symcc-unsat-46.smt2,sat,106,42
symcc-unsat-47.smt2,sat,141,43
symcc-unsat-48.smt2,sat,127,44
symcc-unsat-49.smt2,sat,127,45
symcc-unsat-5.smt2,sat,12,46
symcc-unsat-6.smt2,sat,22,47
symcc-unsat-7.smt2,sat,26,48
symcc-unsat-8.smt2,sat,18,49
symcc-unsat-9.smt2,sat,20,50
