file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,11,1
symcc-assertions-1.smt2,unsat,7,2
symcc-assertions-10.smt2,sat,18,3
symcc-assertions-11.smt2,sat,30,4
symcc-assertions-12.smt2,sat,24,5
symcc-assertions-13.smt2,sat,25,6
symcc-assertions-14.smt2,sat,24,7
symcc-assertions-15.smt2,sat,23,8
symcc-assertions-16.smt2,sat,35,9
symcc-assertions-17.smt2,sat,33,10
symcc-assertions-18.smt2,sat,33,11
symcc-assertions-19.smt2,sat,28,12
symcc-assertions-2.smt2,sat,12,13
symcc-assertions-20.smt2,sat,30,14
symcc-assertions-21.smt2,sat,41,15
symcc-assertions-22.smt2,sat,44,16
symcc-assertions-23.smt2,sat,106,17
symcc-assertions-24.smt2,unsat,8,18
symcc-assertions-25.smt2,unsat,8,19
symcc-assertions-26.smt2,sat,51,20
symcc-assertions-27.smt2,sat,45,21
symcc-assertions-28.smt2,sat,43,22
symcc-assertions-29.smt2,sat,44,23
symcc-assertions-3.smt2,sat,12,24
symcc-assertions-30.smt2,sat,46,25
symcc-assertions-31.smt2,sat,69,26
symcc-assertions-32.smt2,sat,66,27
symcc-assertions-33.smt2,sat,52,28
symcc-assertions-34.smt2,sat,70,29
symcc-assertions-35.smt2,sat,66,30
symcc-assertions-36.smt2,sat,84,31
symcc-assertions-37.smt2,sat,82,32
symcc-assertions-38.smt2,sat,70,33
symcc-assertions-39.smt2,sat,75,34
symcc-assertions-4.smt2,sat,12,35
symcc-assertions-40.smt2,sat,79,36
symcc-assertions-41.smt2,sat,87,37
symcc-assertions-42.smt2,sat,65,38
symcc-assertions-43.smt2,sat,100,39
symcc-assertions-44.smt2,unsat,8,40
symcc-assertions-45.smt2,unsat,8,41
symcc-assertions-46.smt2,sat,80,42
symcc-assertions-47.smt2,sat,123,43
symcc-assertions-48.smt2,sat,100,44
symcc-assertions-49.smt2,sat,134,45
symcc-assertions-50.smt2,sat,113,46
symcc-assertions-51.smt2,sat,95,47
symcc-assertions-52.smt2,sat,118,48
symcc-assertions-53.smt2,sat,118,49
symcc-assertions-54.smt2,sat,128,50
