file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,10,1
symcc-unsat-1.smt2,sat,10,2
symcc-unsat-10.smt2,sat,38,3
symcc-unsat-11.smt2,sat,39,4
symcc-unsat-12.smt2,sat,49,5
symcc-unsat-13.smt2,sat,43,6
symcc-unsat-14.smt2,sat,41,7
symcc-unsat-15.smt2,sat,87,8
symcc-unsat-16.smt2,sat,379,9
symcc-unsat-17.smt2,sat,143,10
symcc-unsat-18.smt2,sat,131,11
symcc-unsat-19.smt2,sat,57,12
symcc-unsat-2.smt2,sat,12,13
symcc-unsat-20.smt2,sat,456,14
symcc-unsat-21.smt2,sat,493,15
symcc-unsat-22.smt2,sat,245,16
symcc-unsat-23.smt2,sat,42,17
symcc-unsat-24.smt2,sat,42,18
symcc-unsat-25.smt2,sat,41,19
symcc-unsat-26.smt2,sat,72,20
symcc-unsat-27.smt2,sat,90,21
symcc-unsat-28.smt2,sat,71,22
symcc-unsat-29.smt2,sat,66,23
symcc-unsat-3.smt2,sat,11,24
symcc-unsat-30.smt2,sat,65,25
symcc-unsat-31.smt2,sat,107,26
symcc-unsat-32.smt2,sat,72,27
symcc-unsat-33.smt2,sat,121,28
symcc-unsat-34.smt2,sat,107,29
symcc-unsat-35.smt2,sat,71,30
symcc-unsat-36.smt2,sat,99,31
symcc-unsat-37.smt2,sat,120,32
symcc-unsat-38.smt2,sat,115,33
symcc-unsat-39.smt2,sat,124,34
symcc-unsat-4.smt2,sat,12,35
symcc-unsat-40.smt2,sat,102,36
symcc-unsat-41.smt2,sat,228,37
symcc-unsat-42.smt2,sat,93,38
symcc-unsat-43.smt2,sat,80,39
symcc-unsat-44.smt2,sat,76,40
symcc-unsat-45.smt2,sat,76,41
symcc-unsat-46.smt2,sat,105,42
symcc-unsat-47.smt2,sat,141,43
symcc-unsat-48.smt2,sat,130,44
symcc-unsat-49.smt2,sat,132,45
symcc-unsat-50.smt2,sat,95,46
symcc-unsat-51.smt2,sat,139,47
symcc-unsat-52.smt2,sat,124,48
symcc-unsat-53.smt2,sat,174,49
symcc-unsat-54.smt2,sat,172,50
