file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,1865,1
symcc-assertions-1.smt2,sat,1871,2
symcc-assertions-10.smt2,timeout,300000,3
symcc-assertions-11.smt2,timeout,300000,4
symcc-assertions-12.smt2,timeout,300000,5
symcc-assertions-13.smt2,unsat,14,6
symcc-assertions-14.smt2,timeout,300000,7
symcc-assertions-15.smt2,unsat,15,8
symcc-assertions-16.smt2,timeout,300000,9
symcc-assertions-17.smt2,timeout,300000,10
symcc-assertions-18.smt2,unsat,18,11
symcc-assertions-19.smt2,timeout,300000,12
symcc-assertions-2.smt2,unsat,11,13
symcc-assertions-20.smt2,timeout,300000,14
symcc-assertions-21.smt2,timeout,300000,15
symcc-assertions-22.smt2,unsat,19,16
symcc-assertions-23.smt2,unsat,12,17
symcc-assertions-24.smt2,timeout,300000,18
symcc-assertions-25.smt2,timeout,300000,19
symcc-assertions-26.smt2,unsat,11,20
symcc-assertions-27.smt2,timeout,300000,21
symcc-assertions-28.smt2,timeout,300000,22
symcc-assertions-29.smt2,timeout,300000,23
symcc-assertions-3.smt2,sat,682,24
symcc-assertions-30.smt2,timeout,300000,25
symcc-assertions-31.smt2,timeout,300000,26
symcc-assertions-32.smt2,timeout,300000,27
symcc-assertions-33.smt2,unsat,14,28
symcc-assertions-34.smt2,unsat,12,29
symcc-assertions-35.smt2,timeout,300000,30
symcc-assertions-36.smt2,timeout,300000,31
symcc-assertions-37.smt2,unsat,16,32
symcc-assertions-38.smt2,timeout,300000,33
symcc-assertions-39.smt2,unsat,29,34
symcc-assertions-4.smt2,unsat,9,35
symcc-assertions-40.smt2,timeout,300000,36
symcc-assertions-41.smt2,timeout,300000,37
symcc-assertions-42.smt2,timeout,300000,38
symcc-assertions-43.smt2,unsat,35,39
symcc-assertions-44.smt2,timeout,300000,40
symcc-assertions-45.smt2,timeout,300000,41
symcc-assertions-46.smt2,timeout,300000,42
symcc-assertions-47.smt2,unsat,21,43
symcc-assertions-48.smt2,unsat,21,44
symcc-assertions-49.smt2,unsat,21,45
symcc-assertions-5.smt2,sat,8644,46
symcc-assertions-6.smt2,sat,202,47
symcc-assertions-7.smt2,sat,2822,48
symcc-assertions-8.smt2,sat,13704,49
symcc-assertions-9.smt2,sat,17824,50
