file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,1895,1
symcc-assertions-1.smt2,sat,1874,2
symcc-assertions-10.smt2,sat,180871,3
symcc-assertions-11.smt2,timeout,300000,4
symcc-assertions-12.smt2,timeout,300000,5
symcc-assertions-13.smt2,unsat,16,6
symcc-assertions-14.smt2,timeout,300000,7
symcc-assertions-15.smt2,unsat,15,8
symcc-assertions-16.smt2,timeout,300000,9
symcc-assertions-17.smt2,timeout,300000,10
symcc-assertions-18.smt2,unsat,18,11
symcc-assertions-19.smt2,timeout,300000,12
symcc-assertions-2.smt2,unsat,12,13
symcc-assertions-20.smt2,timeout,300000,14
symcc-assertions-21.smt2,timeout,300000,15
symcc-assertions-22.smt2,unsat,19,16
symcc-assertions-23.smt2,unsat,11,17
symcc-assertions-24.smt2,timeout,300000,18
symcc-assertions-25.smt2,timeout,300000,19
symcc-assertions-26.smt2,unsat,13,20
symcc-assertions-27.smt2,timeout,300000,21
symcc-assertions-28.smt2,timeout,300000,22
symcc-assertions-29.smt2,timeout,300000,23
symcc-assertions-3.smt2,sat,57,24
symcc-assertions-30.smt2,timeout,300000,25
symcc-assertions-31.smt2,timeout,300000,26
symcc-assertions-32.smt2,timeout,300000,27
symcc-assertions-33.smt2,unsat,15,28
symcc-assertions-34.smt2,unsat,12,29
symcc-assertions-35.smt2,timeout,300000,30
symcc-assertions-36.smt2,timeout,300000,31
symcc-assertions-37.smt2,unsat,15,32
symcc-assertions-38.smt2,timeout,300000,33
symcc-assertions-39.smt2,unsat,32,34
symcc-assertions-4.smt2,unsat,9,35
symcc-assertions-40.smt2,timeout,300000,36
symcc-assertions-41.smt2,timeout,300000,37
symcc-assertions-42.smt2,timeout,300000,38
symcc-assertions-43.smt2,unsat,37,39
symcc-assertions-44.smt2,timeout,300000,40
symcc-assertions-45.smt2,timeout,300000,41
symcc-assertions-46.smt2,timeout,300000,42
symcc-assertions-47.smt2,unsat,25,43
symcc-assertions-48.smt2,unsat,22,44
symcc-assertions-49.smt2,unsat,22,45
symcc-assertions-50.smt2,timeout,300000,46
symcc-assertions-51.smt2,timeout,300000,47
symcc-assertions-52.smt2,unsat,55,48
symcc-assertions-53.smt2,timeout,300000,49
symcc-assertions-54.smt2,unsat,79,50
