file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,18,1
symcc-unsat-1.smt2,sat,30,2
symcc-unsat-10.smt2,timeout,300000,3
symcc-unsat-11.smt2,sat,45308,4
symcc-unsat-12.smt2,timeout,300000,5
symcc-unsat-13.smt2,timeout,300000,6
symcc-unsat-14.smt2,timeout,300000,7
symcc-unsat-15.smt2,timeout,300000,8
symcc-unsat-16.smt2,timeout,300000,9
symcc-unsat-17.smt2,timeout,300000,10
symcc-unsat-18.smt2,timeout,300000,11
symcc-unsat-19.smt2,timeout,300000,12
symcc-unsat-2.smt2,sat,29,13
symcc-unsat-20.smt2,timeout,300000,14
symcc-unsat-21.smt2,timeout,300000,15
symcc-unsat-22.smt2,timeout,300000,16
symcc-unsat-23.smt2,timeout,300000,17
symcc-unsat-24.smt2,timeout,300000,18
symcc-unsat-25.smt2,timeout,300000,19
symcc-unsat-26.smt2,timeout,300000,20
symcc-unsat-27.smt2,timeout,300000,21
symcc-unsat-28.smt2,timeout,300000,22
symcc-unsat-29.smt2,timeout,300000,23
symcc-unsat-3.smt2,sat,90,24
symcc-unsat-30.smt2,timeout,300000,25
symcc-unsat-31.smt2,timeout,300000,26
symcc-unsat-32.smt2,timeout,300000,27
symcc-unsat-33.smt2,timeout,300000,28
symcc-unsat-34.smt2,timeout,300000,29
symcc-unsat-35.smt2,timeout,300000,30
symcc-unsat-36.smt2,timeout,300000,31
symcc-unsat-37.smt2,timeout,300000,32
symcc-unsat-38.smt2,timeout,300000,33
symcc-unsat-39.smt2,timeout,300000,34
symcc-unsat-4.smt2,sat,2359,35
symcc-unsat-40.smt2,timeout,300000,36
symcc-unsat-41.smt2,timeout,300000,37
symcc-unsat-42.smt2,timeout,300000,38
symcc-unsat-43.smt2,timeout,300000,39
symcc-unsat-44.smt2,timeout,300000,40
symcc-unsat-45.smt2,timeout,300000,41
symcc-unsat-46.smt2,timeout,300000,42
symcc-unsat-47.smt2,timeout,300000,43
symcc-unsat-48.smt2,timeout,300000,44
symcc-unsat-49.smt2,timeout,300000,45
symcc-unsat-50.smt2,timeout,300000,46
symcc-unsat-51.smt2,timeout,300000,47
symcc-unsat-52.smt2,timeout,300000,48
symcc-unsat-53.smt2,timeout,300000,49
symcc-unsat-54.smt2,timeout,300000,50
