file_index,file_name,result,runtime_ms,full_path
1,symcc-unsat-0.smt2,sat,3538,./string_only_constraints/b64/unsat/symcc-unsat-0.smt2
2,symcc-unsat-10.smt2,sat,3926,./string_only_constraints/b64/unsat/symcc-unsat-10.smt2
3,symcc-unsat-100.smt2,sat,2766,./string_only_constraints/b64/unsat/symcc-unsat-100.smt2
4,symcc-unsat-101.smt2,sat,2773,./string_only_constraints/b64/unsat/symcc-unsat-101.smt2
5,symcc-unsat-102.smt2,sat,6658,./string_only_constraints/b64/unsat/symcc-unsat-102.smt2
6,symcc-unsat-103.smt2,sat,6618,./string_only_constraints/b64/unsat/symcc-unsat-103.smt2
7,symcc-unsat-104.smt2,sat,4790,./string_only_constraints/b64/unsat/symcc-unsat-104.smt2
8,symcc-unsat-105.smt2,sat,4792,./string_only_constraints/b64/unsat/symcc-unsat-105.smt2
9,symcc-unsat-106.smt2,sat,8867,./string_only_constraints/b64/unsat/symcc-unsat-106.smt2
10,symcc-unsat-107.smt2,sat,8943,./string_only_constraints/b64/unsat/symcc-unsat-107.smt2
11,symcc-unsat-108.smt2,sat,6144,./string_only_constraints/b64/unsat/symcc-unsat-108.smt2
12,symcc-unsat-109.smt2,sat,6134,./string_only_constraints/b64/unsat/symcc-unsat-109.smt2
13,symcc-unsat-11.smt2,sat,3922,./string_only_constraints/b64/unsat/symcc-unsat-11.smt2
14,symcc-unsat-110.smt2,sat,6143,./string_only_constraints/b64/unsat/symcc-unsat-110.smt2
15,symcc-unsat-111.smt2,sat,6364,./string_only_constraints/b64/unsat/symcc-unsat-111.smt2
16,symcc-unsat-112.smt2,sat,6150,./string_only_constraints/b64/unsat/symcc-unsat-112.smt2
17,symcc-unsat-113.smt2,sat,6150,./string_only_constraints/b64/unsat/symcc-unsat-113.smt2
18,symcc-unsat-114.smt2,sat,6197,./string_only_constraints/b64/unsat/symcc-unsat-114.smt2
19,symcc-unsat-115.smt2,sat,6164,./string_only_constraints/b64/unsat/symcc-unsat-115.smt2
20,symcc-unsat-116.smt2,sat,6150,./string_only_constraints/b64/unsat/symcc-unsat-116.smt2
21,symcc-unsat-117.smt2,sat,6124,./string_only_constraints/b64/unsat/symcc-unsat-117.smt2
22,symcc-unsat-118.smt2,sat,6192,./string_only_constraints/b64/unsat/symcc-unsat-118.smt2
23,symcc-unsat-119.smt2,sat,6148,./string_only_constraints/b64/unsat/symcc-unsat-119.smt2
24,symcc-unsat-12.smt2,sat,4079,./string_only_constraints/b64/unsat/symcc-unsat-12.smt2
25,symcc-unsat-120.smt2,sat,6148,./string_only_constraints/b64/unsat/symcc-unsat-120.smt2
26,symcc-unsat-121.smt2,sat,6130,./string_only_constraints/b64/unsat/symcc-unsat-121.smt2
27,symcc-unsat-122.smt2,sat,6135,./string_only_constraints/b64/unsat/symcc-unsat-122.smt2
28,symcc-unsat-123.smt2,sat,6161,./string_only_constraints/b64/unsat/symcc-unsat-123.smt2
29,symcc-unsat-124.smt2,sat,6157,./string_only_constraints/b64/unsat/symcc-unsat-124.smt2
30,symcc-unsat-125.smt2,sat,6143,./string_only_constraints/b64/unsat/symcc-unsat-125.smt2
31,symcc-unsat-126.smt2,sat,6184,./string_only_constraints/b64/unsat/symcc-unsat-126.smt2
32,symcc-unsat-127.smt2,sat,6137,./string_only_constraints/b64/unsat/symcc-unsat-127.smt2
33,symcc-unsat-128.smt2,sat,6152,./string_only_constraints/b64/unsat/symcc-unsat-128.smt2
34,symcc-unsat-129.smt2,sat,6122,./string_only_constraints/b64/unsat/symcc-unsat-129.smt2
35,symcc-unsat-13.smt2,sat,3940,./string_only_constraints/b64/unsat/symcc-unsat-13.smt2
36,symcc-unsat-130.smt2,sat,6133,./string_only_constraints/b64/unsat/symcc-unsat-130.smt2
37,symcc-unsat-131.smt2,sat,6153,./string_only_constraints/b64/unsat/symcc-unsat-131.smt2
38,symcc-unsat-132.smt2,sat,6154,./string_only_constraints/b64/unsat/symcc-unsat-132.smt2
39,symcc-unsat-133.smt2,sat,6298,./string_only_constraints/b64/unsat/symcc-unsat-133.smt2
40,symcc-unsat-134.smt2,sat,6160,./string_only_constraints/b64/unsat/symcc-unsat-134.smt2
41,symcc-unsat-135.smt2,sat,6196,./string_only_constraints/b64/unsat/symcc-unsat-135.smt2
42,symcc-unsat-136.smt2,sat,6130,./string_only_constraints/b64/unsat/symcc-unsat-136.smt2
43,symcc-unsat-137.smt2,sat,6148,./string_only_constraints/b64/unsat/symcc-unsat-137.smt2
44,symcc-unsat-138.smt2,sat,6179,./string_only_constraints/b64/unsat/symcc-unsat-138.smt2
45,symcc-unsat-139.smt2,sat,6283,./string_only_constraints/b64/unsat/symcc-unsat-139.smt2
46,symcc-unsat-140.smt2,sat,6152,./string_only_constraints/b64/unsat/symcc-unsat-140.smt2
47,symcc-unsat-141.smt2,sat,6248,./string_only_constraints/b64/unsat/symcc-unsat-141.smt2
48,symcc-unsat-142.smt2,sat,6190,./string_only_constraints/b64/unsat/symcc-unsat-142.smt2
49,symcc-unsat-143.smt2,sat,6232,./string_only_constraints/b64/unsat/symcc-unsat-143.smt2
50,symcc-unsat-144.smt2,sat,6219,./string_only_constraints/b64/unsat/symcc-unsat-144.smt2
