file_index,file_name,result,runtime_ms,full_path
1,symcc-assertions-0.smt2,sat,38,./string_only_constraints/cJSON/sat/symcc-assertions-0.smt2
2,symcc-assertions-1.smt2,sat,93,./string_only_constraints/cJSON/sat/symcc-assertions-1.smt2
3,symcc-assertions-10.smt2,unsat,12,./string_only_constraints/cJSON/sat/symcc-assertions-10.smt2
4,symcc-assertions-11.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-11.smt2
5,symcc-assertions-12.smt2,sat,259,./string_only_constraints/cJSON/sat/symcc-assertions-12.smt2
6,symcc-assertions-13.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-13.smt2
7,symcc-assertions-14.smt2,unsat,10,./string_only_constraints/cJSON/sat/symcc-assertions-14.smt2
8,symcc-assertions-15.smt2,unsat,246,./string_only_constraints/cJSON/sat/symcc-assertions-15.smt2
9,symcc-assertions-16.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-16.smt2
10,symcc-assertions-17.smt2,sat,348,./string_only_constraints/cJSON/sat/symcc-assertions-17.smt2
11,symcc-assertions-18.smt2,sat,1464,./string_only_constraints/cJSON/sat/symcc-assertions-18.smt2
12,symcc-assertions-19.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-19.smt2
13,symcc-assertions-2.smt2,sat,66,./string_only_constraints/cJSON/sat/symcc-assertions-2.smt2
14,symcc-assertions-20.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-20.smt2
15,symcc-assertions-21.smt2,sat,576,./string_only_constraints/cJSON/sat/symcc-assertions-21.smt2
16,symcc-assertions-22.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-22.smt2
17,symcc-assertions-23.smt2,sat,912,./string_only_constraints/cJSON/sat/symcc-assertions-23.smt2
18,symcc-assertions-24.smt2,sat,1012,./string_only_constraints/cJSON/sat/symcc-assertions-24.smt2
19,symcc-assertions-25.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-25.smt2
20,symcc-assertions-26.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-26.smt2
21,symcc-assertions-27.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-27.smt2
22,symcc-assertions-28.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-28.smt2
23,symcc-assertions-29.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-29.smt2
24,symcc-assertions-3.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-3.smt2
25,symcc-assertions-30.smt2,unsat,787,./string_only_constraints/cJSON/sat/symcc-assertions-30.smt2
26,symcc-assertions-31.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-31.smt2
27,symcc-assertions-32.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-32.smt2
28,symcc-assertions-33.smt2,unsat,1218,./string_only_constraints/cJSON/sat/symcc-assertions-33.smt2
29,symcc-assertions-34.smt2,unsat,11,./string_only_constraints/cJSON/sat/symcc-assertions-34.smt2
30,symcc-assertions-35.smt2,unsat,1176,./string_only_constraints/cJSON/sat/symcc-assertions-35.smt2
31,symcc-assertions-36.smt2,unsat,780,./string_only_constraints/cJSON/sat/symcc-assertions-36.smt2
32,symcc-assertions-37.smt2,unsat,939,./string_only_constraints/cJSON/sat/symcc-assertions-37.smt2
33,symcc-assertions-38.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-38.smt2
34,symcc-assertions-39.smt2,unsat,844,./string_only_constraints/cJSON/sat/symcc-assertions-39.smt2
35,symcc-assertions-4.smt2,sat,46,./string_only_constraints/cJSON/sat/symcc-assertions-4.smt2
36,symcc-assertions-40.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-40.smt2
37,symcc-assertions-41.smt2,unsat,774,./string_only_constraints/cJSON/sat/symcc-assertions-41.smt2
38,symcc-assertions-42.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-42.smt2
39,symcc-assertions-5.smt2,unsat,115,./string_only_constraints/cJSON/sat/symcc-assertions-5.smt2
40,symcc-assertions-6.smt2,unsat,8,./string_only_constraints/cJSON/sat/symcc-assertions-6.smt2
41,symcc-assertions-7.smt2,sat,65,./string_only_constraints/cJSON/sat/symcc-assertions-7.smt2
42,symcc-assertions-8.smt2,sat,279,./string_only_constraints/cJSON/sat/symcc-assertions-8.smt2
43,symcc-assertions-9.smt2,unsat,9,./string_only_constraints/cJSON/sat/symcc-assertions-9.smt2
